model,accuracy,precision,recall,f1,auc_roc,auc_pr,brier_score,ks_statistic
logistic_regression,0.8975,0.6822429906542056,0.9125,0.7807486631016043,0.9675390625,0.8910578051361339,0.07682790240314813,0.80625
random_forest,0.88,0.6632653061224489,0.8125,0.7303370786516854,0.9521484374999999,0.831149985865078,0.07577937977989885,0.79375
gradient_boosting,0.9025,0.7204301075268817,0.8375,0.7745664739884393,0.9516796875,0.8503258328066091,0.07578169548984738,0.7999999999999999
xgboost,0.8875,0.6966292134831461,0.775,0.7337278106508875,0.9484375000000002,0.83231538045084,0.08182031661272049,0.79375
